Id,SalePrice
1461,120848.93977722063
1462,149209.4753026089
1463,205559.36747696824
1464,201107.5784751333
1465,205553.2958242996
1466,189832.70213108312
1467,162352.422942816
1468,181460.53643621568
1469,188465.0097343465
1470,135771.20530690197
1471,199512.9660892254
1472,106412.82389872678
1473,115898.65822270632
1474,146681.01405015594
1475,131435.2723386751
1476,296884.91807320097
1477,234952.8181466789
1478,275756.7828515677
1479,276208.25003701367
1480,319949.3396579977
1481,261351.31421668956
1482,220819.0577368003
1483,191646.2237123303
1484,171391.74217875628
1485,200391.80424789444
1486,228255.54676468542
1487,274238.5384676735
1488,212097.60144836528
1489,216451.77496104632
1490,221210.5466334496
1491,203825.48861185668
1492,107916.3381728486
1493,210008.67500076166
1494,252864.5610955026
1495,239376.88324604655
1496,221407.58982192457
1497,183233.86975919438
1498,171799.67122092895
1499,165033.4905851973
1500,161570.1320994473
1501,179333.78614241918
1502,183222.8483311093
1503,266664.06535778975
1504,246074.09755684948
1505,209362.80260296314
1506,180963.90389595367
1507,209853.45243250745
1508,184433.33974514718
1509,157032.83757479585
1510,177152.62819616814
1511,159385.5458053216
1512,169555.51047552668
1513,135061.3128624117
1514,143167.5095699072
1515,155691.98522104401
1516,160017.01630500154
1517,171842.46249105872
1518,136513.2951606899
1519,209636.29972072787
1520,155258.16266071773
1521,147919.37179158945
1522,173538.44357347957
1523,121341.96181069086
1524,117513.3195607
1525,125052.34440765681
1526,113920.42664315668
1527,122492.11296151977
1528,114098.38884983161
1529,159359.56967900385
1530,168787.32054990454
1531,158439.60166246758
1532,106799.14761027606
1533,132470.01664974284
1534,110657.72842946494
1535,168231.57450027773
1536,108995.85899082097
1537,88241.20415221731
1538,146431.11406119482
1539,182227.00470297015
1540,101094.51225220712
1541,133057.26648303226
1542,134501.25848053885
1543,160993.59399452136
1544,98819.19665278592
1545,118957.38071728413
1546,123520.49069767856
1547,152458.1131787323
1548,115453.80507219127
1549,109388.63747510267
1550,154740.3905806948
1551,129465.82916178914
1552,139152.23441118497
1553,130101.24359154946
1554,117615.56215848248
1555,162278.6367402751
1556,95018.53417007047
1557,86875.42257090654
1558,118336.68866948663
1559,105359.43559485517
1560,153955.33226175763
1561,114084.2653330782
1562,171131.24968415563
1563,138589.20381957528
1564,160184.58324193713
1565,170631.73170168092
1566,202811.8715636245
1567,97415.76578708414
1568,216341.63318577877
1569,145924.02416359365
1570,157096.24818038507
1571,109165.59077278066
1572,141171.08018709093
1573,244143.43635406144
1574,131274.60649763682
1575,209498.88593175137
1576,226031.36544595225
1577,194737.71833524638
1578,143332.06195720725
1579,154866.737239072
1580,198363.42663147874
1581,160501.1870076591
1582,136148.92213044915
1583,233416.69722971576
1584,232289.2638523939
1585,160280.2154276855
1586,100763.55449725699
1587,136359.50975552096
1588,148542.0100059736
1589,115967.4720561991
1590,133517.36027788743
1591,108324.69619174906
1592,122074.50896778768
1593,143579.13118910437
1594,104621.15189377939
1595,112168.15968640754
1596,185709.33512786246
1597,166514.214449306
1598,204044.84397034603
1599,200358.80249160813
1600,187356.08306266717
1601,80864.75895824518
1602,143164.67710954486
1603,98523.26400120047
1604,267634.53232064226
1605,229807.42655013115
1606,134878.07191701012
1607,154137.24512495095
1608,236137.44388819986
1609,202058.75135892216
1610,176953.9712100932
1611,163712.189118199
1612,186302.6241475829
1613,177840.47154643113
1614,163675.17987205574
1615,102300.91120130691
1616,95023.79373951463
1617,104330.73490596717
1618,133104.3203717571
1619,159362.5838309478
1620,147645.33965971222
1621,146678.4376358228
1622,147806.86816295134
1623,219515.6276307069
1624,216160.5931361099
1625,115123.90164952875
1626,181682.34400445264
1627,194458.5807674146
1628,244121.51717550243
1629,190423.63569545033
1630,240994.81394421187
1631,214764.5053538521
1632,259344.17958958523
1633,193432.58167885526
1634,196615.821385403
1635,191893.4649305009
1636,172810.92843439407
1637,185912.2637058302
1638,183149.23391048523
1639,171222.85038393928
1640,218423.3090022828
1641,157033.7958092629
1642,219213.05451035924
1643,229698.38920925208
1644,224736.5524622429
1645,188584.83584115808
1646,176522.8479172594
1647,161755.1492572945
1648,145284.3266044887
1649,195526.97545386225
1650,134624.70575481624
1651,152033.92464501556
1652,111344.90610868893
1653,103738.04188459611
1654,157096.16804898507
1655,154406.92819482108
1656,134805.64321178614
1657,156182.64114245542
1658,157007.7333332889
1659,130030.13898424669
1660,175212.91062269078
1661,317108.7525581295
1662,288229.37907217944
1663,326064.4577541688
1664,317991.2799980789
1665,282054.51693250565
1666,268825.7887437831
1667,277856.8626479546
1668,299159.67840254755
1669,267125.455292784
1670,285729.3889527567
1671,234084.21237696934
1672,287072.9600388063
1673,280433.27061387047
1674,228580.4458429956
1675,203824.10624527303
1676,218717.62036794372
1677,219177.04057318915
1678,304783.6474668388
1679,282031.6332901199
1680,270686.6567667512
1681,254475.1435088677
1682,254777.15332966304
1683,208600.05688328526
1684,165184.31700851873
1685,188882.04319406746
1686,171651.06736986496
1687,183001.48588784187
1688,232803.45671115053
1689,221084.50926832427
1690,212388.7019865727
1691,203223.0982112059
1692,245958.03441082893
1693,184091.46624495805
1694,209296.967505628
1695,169982.6692368512
1696,237878.0854805482
1697,177450.26804754414
1698,285788.999829992
1699,244772.16280746818
1700,258537.8878922684
1701,233692.6417613122
1702,229775.52861088916
1703,241372.35371319414
1704,261906.692272073
1705,234831.3362118046
1706,284528.7813311012
1707,228616.78777427896
1708,218946.2374671674
1709,244212.62794367623
1710,220674.53639700112
1711,261641.2649499441
1712,257987.66650767217
1713,254260.7849749623
1714,200916.36441609735
1715,213700.51132509662
1716,173403.99488488323
1717,174688.52747033583
1718,137796.11077699845
1719,218370.25822255024
1720,223199.07259787526
1721,165038.37639778724
1722,126136.74672894884
1723,160290.88728905842
1724,227052.16042561398
1725,230539.3890972125
1726,166289.24485134953
1727,180270.2187699125
1728,205003.9405740298
1729,172561.05968759733
1730,147355.06098065033
1731,133529.72619718208
1732,139671.51399900398
1733,124746.8225794139
1734,143194.18464474176
1735,141831.5196292383
1736,121111.97164211195
1737,208554.38006703078
1738,225402.05498758526
1739,207307.20523007098
1740,225765.81421714684
1741,230056.98612373482
1742,174432.21052120492
1743,224781.3275557028
1744,270901.44538571755
1745,204185.97681731323
1746,194594.71774457986
1747,195401.06906504222
1748,180099.88654334476
1749,163126.60816331673
1750,141075.0230723511
1751,202514.76713333078
1752,128245.5809325582
1753,152712.50491629547
1754,200383.1894546913
1755,159387.13075371584
1756,124358.95566510942
1757,125290.4026072423
1758,163708.4981124359
1759,168696.7027315202
1760,182730.2419371835
1761,171913.86193557698
1762,176408.04240571707
1763,172083.755441532
1764,123219.95887014967
1765,172628.95586431268
1766,170944.96657569453
1767,205924.82235404738
1768,152167.24925366306
1769,176754.4214107226
1770,167926.93059789197
1771,139583.59577849222
1772,117447.25499956691
1773,157454.53969492682
1774,142236.55247064124
1775,143536.0136863637
1776,135538.80265799124
1777,128130.61241044085
1778,162715.02748446766
1779,137646.45875426586
1780,168803.76552412135
1781,146265.48001393973
1782,113575.83052885764
1783,152331.14134192414
1784,128207.45210103197
1785,133619.66862060298
1786,135052.81827564712
1787,156642.3724298719
